Generating SQLite file /data/qyfeng/tacker_phase31_validation/20260913-codex-phase31/run-complete-v3/sessions/nsight/profiles/rank03-c3_packed_first_linear_pos_scales_rotations_opacity_shs_wg1_pb13942/4dgs_render_tacker.sqlite from /data/qyfeng/tacker_phase31_validation/20260913-codex-phase31/run-complete-v3/sessions/nsight/profiles/rank03-c3_packed_first_linear_pos_scales_rotations_opacity_shs_wg1_pb13942/4dgs_render_tacker.nsys-rep
Processing [/data/qyfeng/tacker_phase31_validation/20260913-codex-phase31/run-complete-v3/sessions/nsight/profiles/rank03-c3_packed_first_linear_pos_scales_rotations_opacity_shs_wg1_pb13942/4dgs_render_tacker.sqlite] with [/usr/local/cuda-12.4/nsight-systems-2023.4.4/host-linux-x64/reports/nvtx_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
26.5,570124485,1,570124485.0,570124485.0,570124485,570124485,0.0,PushPop,profile/trial_0001
26.5,570110981,1,570110981.0,570110981.0,570110981,570110981,0.0,PushPop,profile/render_loop
13.5,289660927,50,5793218.5,5963101.5,792028,6270126,1002417.3,PushPop,renderer/setup
5.4,115076268,50,2301525.4,2140134.5,2101205,6558619,714587.0,PushPop,deformation/hexplane_feature_sampling
1.4,30225710,1,30225710.0,30225710.0,30225710,30225710,0.0,PushPop,profile/frame_0000
0.7,15510801,1,15510801.0,15510801.0,15510801,15510801,0.0,PushPop,renderer/deformation
0.6,11901872,1,11901872.0,11901872.0,11901872,11901872,0.0,PushPop,profile/frame_0001
0.5,11612948,1,11612948.0,11612948.0,11612948,11612948,0.0,PushPop,profile/frame_0006
0.5,11370983,1,11370983.0,11370983.0,11370983,11370983,0.0,PushPop,profile/frame_0007
0.5,11359779,1,11359779.0,11359779.0,11359779,11359779,0.0,PushPop,profile/frame_0002
0.5,11335084,1,11335084.0,11335084.0,11335084,11335084,0.0,PushPop,profile/frame_0046
0.5,11326513,1,11326513.0,11326513.0,11326513,11326513,0.0,PushPop,profile/frame_0032
0.5,11299235,1,11299235.0,11299235.0,11299235,11299235,0.0,PushPop,profile/frame_0040
0.5,11297741,1,11297741.0,11297741.0,11297741,11297741,0.0,PushPop,profile/frame_0008
0.5,11296716,1,11296716.0,11296716.0,11296716,11296716,0.0,PushPop,profile/frame_0005
0.5,11291072,1,11291072.0,11291072.0,11291072,11291072,0.0,PushPop,profile/frame_0004
0.5,11290004,1,11290004.0,11290004.0,11290004,11290004,0.0,PushPop,profile/frame_0009
0.5,11287629,1,11287629.0,11287629.0,11287629,11287629,0.0,PushPop,profile/frame_0003
0.5,11286569,1,11286569.0,11286569.0,11286569,11286569,0.0,PushPop,profile/frame_0010
0.5,11083212,1,11083212.0,11083212.0,11083212,11083212,0.0,PushPop,profile/frame_0048
0.5,11074681,1,11074681.0,11074681.0,11074681,11074681,0.0,PushPop,profile/frame_0016
0.5,11070246,1,11070246.0,11070246.0,11070246,11070246,0.0,PushPop,profile/frame_0036
0.5,11067621,1,11067621.0,11067621.0,11067621,11067621,0.0,PushPop,profile/frame_0021
0.5,11053968,1,11053968.0,11053968.0,11053968,11053968,0.0,PushPop,profile/frame_0041
0.5,11052266,1,11052266.0,11052266.0,11052266,11052266,0.0,PushPop,profile/frame_0031
0.5,11051516,1,11051516.0,11051516.0,11051516,11051516,0.0,PushPop,profile/frame_0033
0.5,11050598,1,11050598.0,11050598.0,11050598,11050598,0.0,PushPop,profile/frame_0028
0.5,11047222,1,11047222.0,11047222.0,11047222,11047222,0.0,PushPop,profile/frame_0043
0.5,11043307,1,11043307.0,11043307.0,11043307,11043307,0.0,PushPop,profile/frame_0026
0.5,11026280,1,11026280.0,11026280.0,11026280,11026280,0.0,PushPop,profile/frame_0035
0.5,11021242,1,11021242.0,11021242.0,11021242,11021242,0.0,PushPop,profile/frame_0022
0.5,11015195,1,11015195.0,11015195.0,11015195,11015195,0.0,PushPop,profile/frame_0045
0.5,11009877,1,11009877.0,11009877.0,11009877,11009877,0.0,PushPop,profile/frame_0012
0.5,11007374,1,11007374.0,11007374.0,11007374,11007374,0.0,PushPop,profile/frame_0011
0.5,11006393,1,11006393.0,11006393.0,11006393,11006393,0.0,PushPop,profile/frame_0034
0.5,11005615,1,11005615.0,11005615.0,11005615,11005615,0.0,PushPop,profile/frame_0044
0.5,11002392,1,11002392.0,11002392.0,11002392,11002392,0.0,PushPop,profile/frame_0019
0.5,11001482,1,11001482.0,11001482.0,11001482,11001482,0.0,PushPop,profile/frame_0024
0.5,10997108,1,10997108.0,10997108.0,10997108,10997108,0.0,PushPop,profile/frame_0023
0.5,10995375,1,10995375.0,10995375.0,10995375,10995375,0.0,PushPop,profile/frame_0039
0.5,10992040,1,10992040.0,10992040.0,10992040,10992040,0.0,PushPop,profile/frame_0029
0.5,10989530,1,10989530.0,10989530.0,10989530,10989530,0.0,PushPop,profile/frame_0038
0.5,10987991,1,10987991.0,10987991.0,10987991,10987991,0.0,PushPop,profile/frame_0027
0.5,10987800,1,10987800.0,10987800.0,10987800,10987800,0.0,PushPop,profile/frame_0018
0.5,10984748,1,10984748.0,10984748.0,10984748,10984748,0.0,PushPop,profile/frame_0015
0.5,10984740,1,10984740.0,10984740.0,10984740,10984740,0.0,PushPop,profile/frame_0020
0.5,10984271,1,10984271.0,10984271.0,10984271,10984271,0.0,PushPop,profile/frame_0037
0.5,10983627,1,10983627.0,10983627.0,10983627,10983627,0.0,PushPop,profile/frame_0017
0.5,10982284,1,10982284.0,10982284.0,10982284,10982284,0.0,PushPop,profile/frame_0025
0.5,10982082,1,10982082.0,10982082.0,10982082,10982082,0.0,PushPop,profile/frame_0030
0.5,10951920,1,10951920.0,10951920.0,10951920,10951920,0.0,PushPop,profile/frame_0014
0.5,10951765,1,10951765.0,10951765.0,10951765,10951765,0.0,PushPop,profile/frame_0013
0.5,10864814,1,10864814.0,10864814.0,10864814,10864814,0.0,PushPop,profile/frame_0042
0.5,10770815,1,10770815.0,10770815.0,10770815,10770815,0.0,PushPop,profile/frame_0047
0.3,7494942,1,7494942.0,7494942.0,7494942,7494942,0.0,PushPop,deformation/heads_and_residuals
0.3,6279599,1,6279599.0,6279599.0,6279599,6279599,0.0,PushPop,profile/frame_0049
0.3,5978268,1,5978268.0,5978268.0,5978268,5978268,0.0,PushPop,renderer/rasterization
0.2,4255696,50,85113.9,79285.0,75553,250145,27053.8,PushPop,deformation/backbone_mlp
0.0,920438,1,920438.0,920438.0,920438,920438,0.0,PushPop,deformation/positional_encoding
0.0,318778,1,318778.0,318778.0,318778,318778,0.0,PushPop,renderer/activation

Processing [/data/qyfeng/tacker_phase31_validation/20260913-codex-phase31/run-complete-v3/sessions/nsight/profiles/rank03-c3_packed_first_linear_pos_scales_rotations_opacity_shs_wg1_pb13942/4dgs_render_tacker.sqlite] with [/usr/local/cuda-12.4/nsight-systems-2023.4.4/host-linux-x64/reports/nvtx_gpu_proj_sum.py]... 
Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
profile/render_loop,PushPop,571458896,570110981,1,571458896.0,571458896.0,571458896,571458896,0.0,7008,7008.0,1.0,50.0
profile/trial_0001,PushPop,571458896,570124485,1,571458896.0,571458896.0,571458896,571458896,0.0,7008,7008.0,0.0,1.0
deformation/hexplane_feature_sampling,PushPop,111520047,115076268,50,2230400.9,2072633.0,2034329,6362955,695996.8,2800,56.0,3.0,0.0
profile/frame_0000,PushPop,33194258,30225710,1,33194258.0,33194258.0,33194258,33194258,0.0,259,259.0,2.0,6.0
renderer/deformation,PushPop,16406410,15510801,1,16406410.0,16406410.0,16406410,16406410,0.0,106,106.0,3.0,4.0
renderer/setup,PushPop,15659664,289660927,50,313193.3,287311.0,279839,1063901,122857.2,400,8.0,3.0,0.0
profile/frame_0001,PushPop,12781205,11901872,1,12781205.0,12781205.0,12781205,12781205,0.0,140,140.0,2.0,3.0
profile/frame_0006,PushPop,11598778,11612948,1,11598778.0,11598778.0,11598778,11598778,0.0,140,140.0,2.0,3.0
profile/frame_0002,PushPop,11390522,11359779,1,11390522.0,11390522.0,11390522,11390522,0.0,140,140.0,2.0,3.0
profile/frame_0007,PushPop,11379259,11370983,1,11379259.0,11379259.0,11379259,11379259,0.0,140,140.0,2.0,3.0
profile/frame_0004,PushPop,11319003,11291072,1,11319003.0,11319003.0,11319003,11319003,0.0,140,140.0,2.0,3.0
profile/frame_0032,PushPop,11315227,11326513,1,11315227.0,11315227.0,11315227,11315227,0.0,140,140.0,2.0,3.0
profile/frame_0008,PushPop,11313371,11297741,1,11313371.0,11313371.0,11313371,11313371,0.0,140,140.0,2.0,3.0
profile/frame_0003,PushPop,11305083,11287629,1,11305083.0,11305083.0,11305083,11305083,0.0,140,140.0,2.0,3.0
profile/frame_0005,PushPop,11298778,11296716,1,11298778.0,11298778.0,11298778,11298778,0.0,140,140.0,2.0,3.0
profile/frame_0009,PushPop,11285722,11290004,1,11285722.0,11285722.0,11285722,11285722,0.0,140,140.0,2.0,3.0
profile/frame_0040,PushPop,11100892,11299235,1,11100892.0,11100892.0,11100892,11100892,0.0,140,140.0,2.0,3.0
profile/frame_0031,PushPop,11091067,11052266,1,11091067.0,11091067.0,11091067,11091067,0.0,140,140.0,2.0,3.0
profile/frame_0041,PushPop,11079035,11053968,1,11079035.0,11079035.0,11079035,11079035,0.0,140,140.0,2.0,3.0
profile/frame_0046,PushPop,11077563,11335084,1,11077563.0,11077563.0,11077563,11077563,0.0,140,140.0,2.0,3.0
profile/frame_0036,PushPop,11076923,11070246,1,11076923.0,11076923.0,11076923,11076923,0.0,140,140.0,2.0,3.0
profile/frame_0033,PushPop,11070683,11051516,1,11070683.0,11070683.0,11070683,11070683,0.0,140,140.0,2.0,3.0
profile/frame_0047,PushPop,11066716,10770815,1,11066716.0,11066716.0,11066716,11066716,0.0,140,140.0,2.0,3.0
profile/frame_0048,PushPop,11066555,11083212,1,11066555.0,11066555.0,11066555,11066555,0.0,140,140.0,2.0,3.0
profile/frame_0021,PushPop,11065787,11067621,1,11065787.0,11065787.0,11065787,11065787,0.0,140,140.0,2.0,3.0
profile/frame_0043,PushPop,11064220,11047222,1,11064220.0,11064220.0,11064220,11064220,0.0,140,140.0,2.0,3.0
profile/frame_0042,PushPop,11056860,10864814,1,11056860.0,11056860.0,11056860,11056860,0.0,140,140.0,2.0,3.0
profile/frame_0026,PushPop,11049083,11043307,1,11049083.0,11049083.0,11049083,11049083,0.0,140,140.0,2.0,3.0
profile/frame_0016,PushPop,11041947,11074681,1,11041947.0,11041947.0,11041947,11041947,0.0,140,140.0,2.0,3.0
profile/frame_0028,PushPop,11039195,11050598,1,11039195.0,11039195.0,11039195,11039195,0.0,140,140.0,2.0,3.0
profile/frame_0022,PushPop,11039131,11021242,1,11039131.0,11039131.0,11039131,11039131,0.0,140,140.0,2.0,3.0
profile/frame_0015,PushPop,11037147,10984748,1,11037147.0,11037147.0,11037147,11037147,0.0,140,140.0,2.0,3.0
profile/frame_0044,PushPop,11031451,11005615,1,11031451.0,11031451.0,11031451,11031451,0.0,140,140.0,2.0,3.0
profile/frame_0035,PushPop,11024187,11026280,1,11024187.0,11024187.0,11024187,11024187,0.0,140,140.0,2.0,3.0
profile/frame_0034,PushPop,11022203,11006393,1,11022203.0,11022203.0,11022203,11022203,0.0,140,140.0,2.0,3.0
profile/frame_0045,PushPop,11021851,11015195,1,11021851.0,11021851.0,11021851,11021851,0.0,140,140.0,2.0,3.0
profile/frame_0011,PushPop,11019387,11007374,1,11019387.0,11019387.0,11019387,11019387,0.0,140,140.0,2.0,3.0
profile/frame_0019,PushPop,11016379,11002392,1,11016379.0,11016379.0,11016379,11016379,0.0,140,140.0,2.0,3.0
profile/frame_0039,PushPop,11011323,10995375,1,11011323.0,11011323.0,11011323,11011323,0.0,140,140.0,2.0,3.0
profile/frame_0025,PushPop,11011067,10982284,1,11011067.0,11011067.0,11011067,11011067,0.0,140,140.0,2.0,3.0
profile/frame_0012,PushPop,11009947,11009877,1,11009947.0,11009947.0,11009947,11009947,0.0,140,140.0,2.0,3.0
profile/frame_0023,PushPop,11009691,10997108,1,11009691.0,11009691.0,11009691,11009691,0.0,140,140.0,2.0,3.0
profile/frame_0029,PushPop,11008988,10992040,1,11008988.0,11008988.0,11008988,11008988,0.0,140,140.0,2.0,3.0
profile/frame_0014,PushPop,11006363,10951920,1,11006363.0,11006363.0,11006363,11006363,0.0,140,140.0,2.0,3.0
profile/frame_0027,PushPop,11005979,10987991,1,11005979.0,11005979.0,11005979,11005979,0.0,140,140.0,2.0,3.0
profile/frame_0038,PushPop,11002907,10989530,1,11002907.0,11002907.0,11002907,11002907,0.0,140,140.0,2.0,3.0
profile/frame_0030,PushPop,11002107,10982082,1,11002107.0,11002107.0,11002107,11002107,0.0,140,140.0,2.0,3.0
profile/frame_0020,PushPop,10998972,10984740,1,10998972.0,10998972.0,10998972,10998972,0.0,140,140.0,2.0,3.0
profile/frame_0010,PushPop,10996156,11286569,1,10996156.0,10996156.0,10996156,10996156,0.0,140,140.0,2.0,3.0
profile/frame_0037,PushPop,10993083,10984271,1,10993083.0,10993083.0,10993083,10993083,0.0,140,140.0,2.0,3.0
profile/frame_0024,PushPop,10993020,11001482,1,10993020.0,10993020.0,10993020,10993020,0.0,140,140.0,2.0,3.0
profile/frame_0018,PushPop,10982299,10987800,1,10982299.0,10982299.0,10982299,10982299,0.0,140,140.0,2.0,3.0
profile/frame_0017,PushPop,10979548,10983627,1,10979548.0,10979548.0,10979548,10979548,0.0,140,140.0,2.0,3.0
profile/frame_0013,PushPop,10967963,10951765,1,10967963.0,10967963.0,10967963,10967963,0.0,140,140.0,2.0,3.0
deformation/heads_and_residuals,PushPop,8462788,7494942,1,8462788.0,8462788.0,8462788,8462788,0.0,36,36.0,4.0,0.0
deformation/backbone_mlp,PushPop,6473127,4255696,50,129462.5,128287.5,126591,135071,2678.4,50,1.0,3.0,0.0
profile/frame_0049,PushPop,4107635,6279599,1,4107635.0,4107635.0,4107635,4107635,0.0,29,29.0,2.0,1.0
renderer/rasterization,PushPop,4104275,5978268,1,4104275.0,4104275.0,4104275,4104275,0.0,28,28.0,3.0,0.0
